K,Silhouette,Calinski_Harabasz,Davies_Bouldin
2,0.7861545934767564,376.1726548767231,0.7313502135905788
3,0.5931461553836387,344.0515646425829,0.8654328376919213
4,0.5932312857010098,448.1524800546471,0.675952777140812
5,0.5236367482548397,420.8077024359046,0.8314790496315105
6,0.4992748499431965,461.1851406826921,0.8353338946910361
7,0.4999375102858358,436.09892500664176,0.9050039333382033
8,0.5241601697182002,475.24322460911435,0.8161954875496565
9,0.46479522950936364,530.2939270284585,0.8026324232002742
10,0.46130408465095646,530.2630020958698,0.803916978965883
